scenario,method,throughput_veh_per_min,total_switches,avg_queue,duration_s
Pico Matutino,PPO Original (Demanda Fija),46.5,10,5.7,160
Pico Vespertino,PPO Original (Demanda Fija),42.8,10,7.4,160
Mediodia,PPO Original (Demanda Fija),45.0,10,5.3,160
Valle Nocturno,PPO Original (Demanda Fija),45.0,10,3.7,160
AM/PM Dinamico,PPO Original (Demanda Fija),47.2,10,6.7,160
Estatico Medio,PPO Original (Demanda Fija),45.8,10,8.3,160
Pico Matutino,PPO Variable,37.5,3,10.58,96
Pico Vespertino,PPO Variable,35.6,3,10.83,96
Mediodia,PPO Variable,42.5,6,7.17,96
Valle Nocturno,PPO Variable,34.4,3,7.83,96
AM/PM Dinamico,PPO Variable,40.6,3,10.92,96
Estatico Medio,PPO Variable,44.4,3,11.17,96
